Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/11/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800,10680,10940,11790,12440,11840,12180,13210,13630,14030,14440,14430,14580,15670,16710,18260,21130,23500,23600,20760,19590,19290,20060,20430,21370,
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16670,17100,17600,18610,19520,20260,21270,22220,23450,24480,25610,26630,27900,28860,30420,31350,32990,34930,35950,38850,37650,40090,41300,44330,44700,
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19560,20590,21330,21780,22660,23590,24570,25440,26580,27500,29270,29460,31110,32140,33750,34580,37730,39160,41450,40610,42240,44170,45900,47550,47380,
Azerbaijan,AZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,2720,2410,2420,2630,2890,3110,3340,3710,4120,4650,5100,6280,8570,10560,12310,13720,14600,14590,14870,16180,16920,
Burundi,BDI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,710,710,670,650,600,550,550,570,560,570,570,580,560,580,590,630,650,680,680,690,710,730,750,770,
Belgium,BEL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19100,20100,20780,21200,22450,23360,23800,24880,25420,26510,28990,29730,31280,31630,32400,33430,35550,37060,38730,37680,40420,41210,42890,43680,44090,
Benin,BEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,960,960,1020,1020,1070,1100,1160,1190,1240,1300,1350,1390,1410,1470,1500,1560,1650,1710,1710,1710,1750,1810,1910,2020,
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,580,580,600,600,630,700,730,770,820,820,870,900,960,1000,1090,1160,1220,1300,1300,1430,1420,1490,1560,1600,
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,890,940,990,1030,1080,1120,1170,1220,1270,1350,1420,1480,1560,1660,1800,1980,2160,2340,2450,2600,2780,3000,3170,3330,
Bulgaria,BGR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4970,4640,4870,4940,5150,5350,5070,5230,6000,5700,6190,6910,7920,8520,9260,10150,11160,12360,14230,14390,14700,15020,15720,15990,16840,
Bahrain,BHR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19160,26650,27400,29550,29180,31210,32360,31820,32980,33170,34910,34720,34310,35710,37030,38740,39380,40420,39380,35230,35790,34530,35860,37680,,
"Bahamas, The",BHS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17570,17100,16910,16790,17350,18250,20690,16740,18080,19230,20130,20720,21190,21010,21380,22070,22780,23260,23160,21760,21770,21990,22470,22330,22290,
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,1010,2090,2930,4380,4690,4840,5100,5350,5600,6010,6680,7550,8260,9120,9020,9090,9500,9790,10240,10550,
Belarus,BLR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220,5330,4920,4640,4180,3830,4030,4570,5030,5310,5760,6220,6690,7380,8510,9680,10990,12230,13740,13760,15060,16410,16810,17010,17610,
Belize,BLZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3650,4080,4350,4350,4370,4360,4430,4440,4660,5160,5310,5530,5900,6040,6290,6600,6530,6720,7050,6950,7340,7500,7590,,
Bermuda,BMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26490,26490,27070,28390,28970,30660,,,,,,,,,,,,75090,74800,68450,68910,68110,67110,66560,,
Bolivia,BOL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280,2440,2520,2630,2770,2900,3050,3180,3330,3320,3400,3480,3550,3610,3770,4020,4280,4510,4830,4910,5070,5330,5540,5900,6290,
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6450,6680,6720,7050,7360,7740,8010,8250,8130,8100,8570,8770,9070,9220,9930,10440,11030,11870,12510,12470,13880,14580,14740,15090,15570,
Barbados,BRB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8450,8280,8030,8170,8540,8820,9280,9890,10340,10440,11090,10970,11180,11570,12110,12800,13700,14520,14620,14260,14660,14950,15190,,,
Brunei Darussalam,BRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49820,51600,53740,53660,55010,57160,58410,57160,56160,57500,59250,61060,63220,65180,66150,67370,71260,72400,71090,69300,,,72190,,,
Bhutan,BTN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410,1420,1490,1610,1800,1870,2030,2200,2140,2220,2850,3060,3290,3490,3680,4000,4350,5100,5280,5490,6000,6450,6680,6930,7280,
Botswana,BWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090,5740,5940,6290,5740,6420,6450,7120,7500,7620,7710,8090,7680,8400,8630,9400,10420,11480,12190,11660,12300,13540,14300,15110,16030,
Central African Republic,CAF,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,560,560,580,620,590,620,640,670,650,680,710,670,720,740,770,820,830,840,870,900,930,590,600,
Canada,CAN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19290,19310,19620,20420,21560,22460,23030,24220,25210,26650,28310,29090,29850,31220,32860,35230,37220,38650,39500,38050,39310,40810,41600,43680,44350,
Central Europe and the Baltics,CEB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6349.127559,6649.796845,7153.369267,7673.459273,8186.80071,8589.671743,8986.158486,9272.744667,9912.550054,10703.68082,11465.0849,12096.8667,12926.63992,13927.36157,15439.51478,17068.24332,18732.04235,18869.4242,19767.50162,21043.90203,21993.50363,22950.09389,23634.03917,
Switzerland,CHE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27350,27670,27900,28400,28900,29700,30520,32330,33570,34430,36800,36790,37390,38870,40160,42500,46660,47760,47200,50930,54460,55080,58470,60460,59160,
Channel Islands,CHI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4160,4620,5340,5860,6230,7060,7730,8330,8700,8580,9490,9900,10110,10500,11060,11870,13780,15020,15260,15180,17020,19140,20460,20580,21320,
China,CHN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,1090,1260,1450,1660,1830,2030,2240,2410,2610,2880,3160,3490,3910,4410,5020,5830,6820,7620,8280,9200,10180,11190,12100,13170,
Cote d'Ivoire,CIV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780,1810,1800,1770,1830,1940,2100,2180,2290,2290,2140,2100,2030,1950,2090,2320,2380,2440,2500,2540,2570,2450,2710,2890,3130,
Cameroon,CMR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,1620,1570,1440,1450,1500,1560,1620,1700,1750,1780,1840,1920,2030,2140,2190,2310,2360,2430,2460,2490,2580,2670,2780,2950,
"Congo, Rep.",COG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820,2930,3120,2850,2850,1990,2030,2500,2700,2400,2600,2690,2850,2940,2810,2970,3150,3220,3610,3730,4120,4180,4470,4660,5200,
Colombia,COL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620,4830,5100,5300,5720,6050,6160,6380,6410,6150,6440,6580,6740,6990,7460,7950,8640,9350,9740,9890,10260,10970,11560,12240,12910,
Comoros,COM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,940,1030,1040,980,1010,980,1010,1010,1020,1120,1150,1160,1180,1200,1250,1290,1300,1300,1300,1320,1340,1380,1410,1430,
Cabo Verde,CPV,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,1100,1220,1320,1560,1760,1930,2130,2360,2590,2940,3060,3170,3330,3720,3990,4380,5250,5650,5590,5590,5910,5990,6110,6200,
Costa Rica,CRI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4550,4700,5170,5540,5850,6020,6060,6330,6680,6580,6990,7390,7710,8090,8720,9520,10640,11240,11840,11390,12150,12890,13440,13940,14420,
Caribbean small states,CSS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5475.174846,5766.614096,5954.200291,6352.172997,6567.392519,6866.08619,7277.350928,7412.757906,7631.775986,7948.394664,8362.123268,8640.421986,9118.887578,9850.599926,10522.84907,11307.95993,12485.98089,13228.11003,13689.86046,13147.629,13314.13749,13243.22802,13617.36902,13998.64471,15146.78076,
Cuba,CUB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8660,7950,7170,6210,6350,6570,7200,7500,7580,8140,8770,9260,9490,10050,10880,12490,14460,15830,16780,16980,17660,18630,,,,
Curacao,CUW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13400,13600,14760,14880,15720,15690,16060,16390,18900,18100,18940,20750,21800,22850,24140,25900,28040,29710,34100,32400,32690,33400,31040,29650,29190,
Czech Republic,CZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11770,12130,12740,13700,14490,14700,14770,15120,15980,17170,17680,18960,20020,21280,22920,24970,25350,25110,25030,26440,26930,28230,28740,
Germany,DEU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19340,20710,21410,21490,22320,23050,23630,24110,24710,25580,26450,27490,28090,29100,30910,32470,35290,37320,38810,37950,40420,43210,44640,45140,47460,
Djibouti,DJI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1990,1880,1840,1790,1710,1680,1660,1700,1730,1760,1810,1980,2120,2220,,,,,,,,,,
Dominica,DMA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220,4330,4530,4730,4790,4950,5080,5330,5750,5690,5710,6170,6080,6690,6980,7260,8010,8670,9510,9570,9830,9970,9980,9970,10480,
Denmark,DNK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18300,19090,19930,20450,21990,23110,24150,25340,26320,27310,28950,29830,31230,31080,33290,34340,37620,38870,41290,40010,42520,44230,44880,46890,46850,
Dominican Republic,DOM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290,3390,3750,3980,4110,4350,4690,5070,5390,5730,6100,6250,6620,6480,6520,7460,8420,9270,9750,9790,10630,10960,11300,11760,12600,
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6430,6300,6440,6380,6280,6450,6710,6850,7200,7400,7610,8210,8610,9320,9810,10540,10970,11760,12110,12170,12630,12900,13280,13480,13880,
East Asia & Pacific (developing only),EAP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394.901022,1504.933128,1682.243311,1919.025386,2145.258299,2352.792075,2576.855911,2767.929644,2778.953146,2948.066079,3203.341586,3440.766744,3728.766305,4159.999195,4613.422942,5154.967896,5851.035411,6687.551762,7352.176247,7858.086193,8641.288422,9414.352571,10260.13739,11014.9727,11871.96806,
East Asia & Pacific (all income levels),EAS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3143.029728,3358.686258,3583.808287,3863.680923,4146.667484,4429.768295,4737.701386,4999.952361,4971.49199,5200.159857,5582.4776,5870.141934,6229.709508,6698.449934,7277.4191,7895.340263,8710.855088,9672.365624,10312.9065,10656.28823,11576.48688,12390.63419,13279.29961,14086.2511,14903.14675,
Europe & Central Asia (developing only),ECA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4962.108501,4738.34853,4469.642348,4348.206243,3954.460066,3970.707637,4102.186459,4276.923297,4975.906157,4937.366324,5419.339387,5619.504434,5948.907566,6344.737817,7207.474798,7975.059611,9047.561634,10005.5548,10976.09847,10697.04573,11468.55569,12355.0818,12958.6784,13535.10586,13918.4296,
Europe & Central Asia (all income levels),ECS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11259.98367,11579.82616,11611.18512,11685.38488,11925.39872,12368.17646,12816.74202,13411.80738,14056.85497,14591.64394,15751.74271,16561.25141,17245.15361,17928.10119,19076.97394,20319.21001,22448.65163,23949.75955,25387.5452,24778.72645,25742.53981,27053.38184,27682.19007,28219.17279,28827.49489,
Ecuador,ECU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450,4750,4920,5050,5290,5420,5480,5720,5820,5380,5400,5790,6080,6250,6810,7330,7790,8040,8710,8710,9030,9770,10350,10820,11190,
"Egypt, Arab Rep.",EGY,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3790,3930,4120,4230,4450,4690,4950,5240,5420,5720,6050,6300,6360,6550,6870,7280,7930,8610,9240,9490,9700,9810,10010,10110,10280,
Euro area,EMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16817.11444,17742.07852,18311.67646,18553.22553,19309.9243,20175.41664,20865.57111,21730.32504,22694.97025,23615.26689,25048.66199,26253.15495,27007.04329,27553.67421,28756.93801,30078.32521,32623.72007,34463.12082,35688.53481,34940.45028,36048.60603,37445.24494,37946.1187,38812.99642,39597.54095,
Eritrea,ERI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,870,1080,1140,1230,1330,1350,1340,1280,1370,1380,1310,1320,1360,1360,1380,1240,1270,1290,1400,,,,
Spain,ESP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13590,14370,14770,14980,15420,16340,17010,18010,19220,20200,21790,22970,24390,25130,26200,27470,30320,32010,32820,32200,31920,31970,32010,32690,33490,
Estonia,EST,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9340,10050,11250,12520,13940,15910,18300,20330,21290,19590,20020,22760,24910,26620,27490,
Ethiopia,ETH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,390,350,390,400,420,460,470,450,460,490,520,530,510,580,650,720,810,890,950,1050,1160,1250,1370,1500,
European Union,EUU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14727.10166,15411.45119,15899.01142,16216.14771,17026.20778,17842.68203,18582.04846,19450.07505,20334.47757,21109.80685,22547.38441,23707.87505,24581.83923,25244.93594,26504.67332,27802.33184,30103.85536,31792.06576,32985.10969,32317.26706,33296.12038,34618.70586,35205.5342,36137.04006,36892.06099,
Fragile and conflict affected situations,FCS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.150912,1329.574493,1437.851994,1559.560715,1607.563664,1653.824955,1779.460831,1941.983379,2227.730793,2376.137148,2410.611379,2460.179084,2371.025302,2169.415474,2543.047353,2743.877067,2943.741967,3100.204506,3278.2979,3320.227553,3416.802043,3163.817585,3567.598736,3633.560532,3551.939443,
Finland,FIN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17590,16830,16320,16410,17470,18720,19370,21250,22820,24260,26300,27530,28510,28650,31300,32200,34830,37620,39800,38020,38840,40430,40650,40980,40630,
Fiji,FJI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890,3900,4170,4290,4480,4760,5060,4950,4940,5420,5710,5780,6140,6270,6770,7110,7020,7210,7330,7360,7390,7260,7410,8000,8410,
France,FRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17580,18330,18990,19260,20020,20780,21490,22500,23630,24750,26460,27920,28790,28440,29450,30910,32920,34740,35890,35420,36620,38180,38010,39820,40100,
Faroe Islands,FRO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380,2380,2440,2380,2400,2340,2400,2580,2680,2730,2840,2860,3040,3140,3200,3160,3330,3390,3540,3660,3700,3590,
Gabon,GAB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11120,11880,11110,11330,12040,12350,12700,13310,13880,12420,11730,12380,12750,12720,12240,13630,12760,13640,13410,13590,14110,15000,15490,16350,17200,
United Kingdom,GBR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16590,16920,17530,18370,19780,20690,21950,23570,24720,25250,27630,29130,30590,31720,33700,35470,37320,37920,37910,36490,36350,37050,37590,38730,39500,
Georgia,GEO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180,4200,2330,1660,1530,1600,1900,2310,2470,2600,2690,2830,3030,3470,3870,4410,5100,5860,6110,6030,6480,7100,7940,8350,9080,
Ghana,GHA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,1290,1330,1390,1420,1480,1530,1590,1640,1700,1750,1830,1890,1980,2090,2250,2420,2530,2740,2830,2970,3320,3540,3850,3900,
Guinea,GIN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,690,700,720,730,750,770,790,810,850,880,910,970,920,950,970,970,1020,1030,1020,1040,1080,1130,1140,1130,
"Gambia, The",GMB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,980,1010,1030,1030,1030,1050,1080,1090,1140,1190,1240,1170,1250,1330,1310,1310,1350,1440,1540,1610,1510,1570,1600,1580,
Guinea-Bissau,GNB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,970,980,1000,1040,1070,1190,1280,900,900,990,1000,1010,1010,1050,1100,1150,1200,1220,1240,1300,1410,1370,1360,1380,
Equatorial Guinea,GNQ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,740,1000,1080,1040,1090,1740,4640,5020,6620,5970,6010,7970,7330,9090,16030,26000,28730,28110,19350,17130,20700,22320,19510,17660,
Greece,GRC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520,14290,14650,14620,15160,15730,16260,17190,17690,18030,19390,21030,22680,23700,25090,25400,27700,28540,30190,29920,28410,26000,26550,27050,,
Grenada,GRD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4570,4950,5030,4900,5110,5220,5480,5790,6140,6850,7150,7040,7310,8160,8100,10160,10020,10730,11040,10020,10390,10770,10760,11130,11720,
